# Configuracion del grafo del mapa (nodos y conexiones)
NODE,F,373,206
NODE,G,336,467
NODE,H,279,743
NODE,I,557,820
NODE,J,829,898
NODE,K,1102,960
NODE,L,1150,687
NODE,N,609,551
NODE,O,1369,1004
NODE,P,1449,484
NODE,S,1524,210
NODE,T,1278,137
NODE,Y,1789,256
NODE,V,1737,549
NODE,W,1693,849
NODE,X,2071,327
NODE,A2,2015,636
NODE,A3,1956,885
NODE,A4,664,279
NODE,A6,991,56
NODE,A7,1196,423
NODE,A9,881,611
NODE,A10,939,365
NODE,A12,1405,770
EDGE,F,G,true
EDGE,F,A4,true
EDGE,G,H,true
EDGE,G,N,true
EDGE,H,I,false
EDGE,I,J,false
EDGE,I,N,true
EDGE,J,K,false
EDGE,J,A9,false
EDGE,K,O,false
EDGE,K,L,false
EDGE,L,A7,false
EDGE,L,A9,true
EDGE,L,A12,true
EDGE,N,A4,true
EDGE,N,A9,true
EDGE,O,A12,true
EDGE,P,S,true
EDGE,P,V,true
EDGE,P,A7,true
EDGE,P,A12,true
EDGE,S,Y,false
EDGE,T,S,false
EDGE,Y,X,false
EDGE,Y,V,true
EDGE,V,A2,true
EDGE,V,W,true
EDGE,W,A3,true
EDGE,W,A12,true
EDGE,X,A2,true
EDGE,A2,A3,true
EDGE,A4,A10,true
EDGE,A6,T,false
EDGE,A7,T,false
EDGE,A7,A10,true
EDGE,A9,A10,false
EDGE,A10,A6,false
